"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"NA19661_18.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_18.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_18.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_18.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_18.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_19.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_2.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_20.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_21.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.2.bam"	"ND"	"ND"	"0"	"3"
"NA19661_22.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_22.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_23.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_23.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_23.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_23.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_23.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_24.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_24.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_24.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_24.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_24.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_24.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.2.bam"	"ND"	"ND"	"0"	"3"
"NA19661_25.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_25.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_26.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_26.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_26.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_26.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_26.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_27.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_28.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_29.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_3.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_30.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_31.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_32.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_32.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_32.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_32.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_32.0.6.bam"	"ND"	"ND"	"0"	"3"
"NA19661_32.0.7.bam"	"ND"	"ND"	"0"	"3"
"NA19661_32.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_32.0.9.bam"	"ND"	"ND"	"0"	"3"
"NA19661_32.1.0.bam"	"ND"	"ND"	"0"	"3"
"NA19661_33.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_33.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_33.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.0.7.bam"	"ND"	"ND"	"0"	"3"
"NA19661_34.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_34.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_35.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_36.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.4.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.5.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.6.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.7.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.8.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.0.9.bam"	"ND"	"ND"	"0"	"2"
"NA19661_37.1.0.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.1.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.2.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.3.bam"	"ND"	"ND"	"0"	"2"
"NA19661_38.0.4.bam"	"ND"	"ND"	"0"	"2"
