"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"HG02666_0.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG02666_0.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG02666_1.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG02666_10.1.0.bam"	"ND"	"ND"	"0"	"3"
"HG02666_11.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.0.6.bam"	"ND"	"ND"	"0"	"3"
"HG02666_11.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG02666_11.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG02666_12.0.9.bam"	"ND"	"ND"	"0"	"3"
"HG02666_12.1.0.bam"	"ND"	"ND"	"0"	"3"
"HG02666_13.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_13.0.5.bam"	"ND"	"ND"	"0"	"3"
"HG02666_13.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG02666_13.0.7.bam"	"ND"	"ND"	"0"	"3"
"HG02666_13.0.8.bam"	"ND"	"ND"	"0"	"3"
"HG02666_13.0.9.bam"	"ND"	"ND"	"0"	"3"
"HG02666_13.1.0.bam"	"ND"	"ND"	"0"	"3"
"HG02666_14.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG02666_14.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG02666_15.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG02666_15.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG02666_15.0.3.bam"	"ND"	"ND"	"0"	"2"
