"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"HG00473_18.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_18.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_18.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_19.0.6.bam"	"ND"	"ND"	"0"	"3"
"HG00473_19.0.7.bam"	"ND"	"ND"	"0"	"4"
"HG00473_19.0.8.bam"	"ND"	"ND"	"0"	"4"
"HG00473_19.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_19.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_2.0.9.bam"	"ND"	"ND"	"0"	"3"
"HG00473_2.1.0.bam"	"ND"	"ND"	"0"	"3"
"HG00473_20.0.1.bam"	"ND"	"ND"	"0"	"3"
"HG00473_20.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_20.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_21.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_22.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_22.0.9.bam"	"ND"	"ND"	"0"	"3"
"HG00473_22.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_23.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_24.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.3.bam"	"ND"	"ND"	"0"	"3"
"HG00473_25.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_25.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_26.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_27.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.0.4.bam"	"ND"	"ND"	"0"	"3"
"HG00473_28.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_28.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_29.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG00473_3.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG00473_30.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG00473_30.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG00473_30.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG00473_30.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG00473_30.0.8.bam"	"ND"	"ND"	"0"	"2"
