H2a2a1	H2a2a1	0.9993302703675264
L0a1a1	L0a1a1	0.9941027184800153
HV4b	HV4b	0.9981575940794629
C1b	C1b, C1b8	0.9972517839544803
L1c4b	L1c4b	0.9952065016188403
B2b3a	B2b3a	0.9951722272952105
J2a1a1a1	J2a1a1a1	0.9981912374786437
L2a1a3c	L2a1a3c	0.9975539462723964
T2e1a1b1	T2e1a1	0.9952398252879155
L2a1j	L2a1j	0.996817930887246
L1c2b	L1c2	0.9936942876163961
Q1	Q1	0.9943022501551557
X3a	X3a	0.9981912541519194
E1a1b	E1a2	0.9963151950122492
V3	V3	0.9961811907357949
S1a	S1a	0.9960112966753112
I2b	I2b	0.9989949792494002
F1a1	F1a1	0.9936313319185194
U2e1b1	U2e1b1	0.9993301806479433
L3b1	L3b1	0.9929278933654093
P	P	0.9858846767936726
D1	D1	0.998458884507273
A2	A2	0.9954406741599593
Z1a	Z1a	0.9980903096271836
Y1b	Y1b	0.9952073875908065
