"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"A2_n1000_l100_rep18_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep18_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep19_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep1_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep20_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep20_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep21_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep22_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep23_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep23_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep23_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep23_s0.08_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep23_s0.09_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep23_s0.1_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep23_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep23_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep24_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep25_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep25_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep25_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep25_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep25_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep26_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep27_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep27_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep27_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep27_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep27_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep28_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep29_s0.3_mem.bam"	"ND"	"ND"	"0"	"3"
"A2_n1000_l100_rep2_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep2_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.2_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep30_s0.3_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.02_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.03_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.04_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.05_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.06_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.07_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.08_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.09_mem.bam"	"ND"	"ND"	"0"	"2"
"A2_n1000_l100_rep31_s0.1_mem.bam"	"ND"	"ND"	"0"	"2"
