"Sample"	"Contamination Status"	"Contamination Level"	"Distance"	"Sample Coverage"
"HG03112_0.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG03112_0.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG03112_1.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG03112_1.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG03112_1.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG03112_1.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG03112_1.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG03112_1.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.1.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.2.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.7.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.8.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.0.9.bam"	"ND"	"ND"	"0"	"2"
"HG03112_10.1.0.bam"	"ND"	"ND"	"0"	"2"
"HG03112_11.0.3.bam"	"ND"	"ND"	"0"	"2"
"HG03112_11.0.4.bam"	"ND"	"ND"	"0"	"2"
"HG03112_11.0.5.bam"	"ND"	"ND"	"0"	"2"
"HG03112_11.0.6.bam"	"ND"	"ND"	"0"	"2"
"HG03112_11.0.7.bam"	"ND"	"ND"	"0"	"2"
